ID;StartDate;EndDate;Duration (in seconds);Finished;UserLanguage;Consent;non,blameAc;non,blameSelf;non,praiseAc;non,praiseSelf;ignorant,praiseAc;ignorant,praiseSelf;ignorant,blame,AC;ignorant,blameSelf;Gender;Age
139;2026-03-16 14:51:07;2026-03-16 14:57:05;358;1;EN-GB;1;;;;;;;7;4;1;42
140;2026-03-16 14:55:05;2026-03-16 14:57:14;129;1;EN-GB;1;7;7;;;;;;;2;40
141;2026-03-16 14:55:02;2026-03-16 14:57:18;136;1;EN-GB;1;;;;;4;3;;;1;38
142;2026-03-16 14:54:24;2026-03-16 14:57:19;174;1;EN-GB;1;;;;;1;3;;;1;24
143;2026-03-16 14:55:08;2026-03-16 14:57:32;143;1;EN-GB;1;;;7;6;;;;;2;61
144;2026-03-16 14:54:32;2026-03-16 14:57:40;188;1;EN-GB;1;;;;;;;7;4;1;36
145;2026-03-16 14:55:54;2026-03-16 14:57:45;111;1;EN-GB;1;;;;;;;7;5;2;38
146;2026-03-16 14:51:59;2026-03-16 14:57:50;350;1;EN-GB;1;7;5;;;;;;;2;33
147;2026-03-16 14:56:01;2026-03-16 14:57:52;111;1;EN-GB;1;;;2;3;;;;;1;29
148;2026-03-16 14:50:43;2026-03-16 14:57:54;430;1;EN-GB;1;;;;;4;5;;;1;31
149;2026-03-16 14:55:34;2026-03-16 14:57:59;144;1;EN-GB;1;7;7;;;;;;;1;47
150;2026-03-16 14:55:42;2026-03-16 14:57:59;137;1;EN-GB;1;7;7;;;;;;;1;67
151;2026-03-16 14:53:10;2026-03-16 14:58:03;292;1;EN-GB;1;;;;;;;6;6;1;52
152;2026-03-16 14:55:46;2026-03-16 14:58:06;140;1;EN-GB;1;;;1;4;;;;;1;39
153;2026-03-16 14:53:59;2026-03-16 14:58:11;251;1;EN-GB;1;;;4;4;;;;;1;59
154;2026-03-16 14:49:21;2026-03-16 14:58:15;534;1;EN-GB;1;;;;;3;4;;;1;33
155;2026-03-16 14:56:15;2026-03-16 14:58:22;126;1;EN-GB;1;;;4;4;;;;;2;21
156;2026-03-16 14:56:07;2026-03-16 14:58:28;141;1;EN-GB;1;;;;;;;7;7;2;62
157;2026-03-16 14:56:19;2026-03-16 14:58:44;144;1;EN-GB;1;;;;;;;7;6;3;71
158;2026-03-16 14:52:55;2026-03-16 14:58:51;356;1;EN-GB;1;7;6;;;;;;;2;34
159;2026-03-16 14:49:29;2026-03-16 14:58:57;568;1;EN-GB;1;;;6;6;;;;;1;34
160;2026-03-16 14:55:26;2026-03-16 14:58:58;211;1;EN-GB;1;;;;;7;5;;;2;40
161;2026-03-16 14:54:18;2026-03-16 14:59:03;285;1;EN-GB;1;;;;;;;7;7;1;26
162;2026-03-16 14:55:19;2026-03-16 14:59:06;227;1;EN-GB;1;;;;;;;7;5;1;35
163;2026-03-16 14:56:29;2026-03-16 14:59:13;163;1;EN-GB;1;7;7;;;;;;;2;47
164;2026-03-16 14:57:13;2026-03-16 14:59:20;126;1;EN-GB;1;;;3;4;;;;;1;31
165;2026-03-16 14:56:16;2026-03-16 14:59:20;184;1;EN-GB;1;;;;;;;5;5;1;27
166;2026-03-16 14:57:39;2026-03-16 14:59:28;109;1;EN-GB;1;;;3;5;;;;;2;30
167;2026-03-16 14:55:43;2026-03-16 14:59:29;225;1;EN-GB;1;;;;;6;6;;;2;44
168;2026-03-16 14:56:19;2026-03-16 14:59:29;189;1;EN-GB;1;;;4;5;;;;;1;48
169;2026-03-16 14:57:16;2026-03-16 15:00:07;171;1;EN-GB;1;7;5;;;;;;;2;47
170;2026-03-16 14:58:34;2026-03-16 15:00:08;94;1;EN-GB;1;7;7;;;;;;;1;36
171;2026-03-16 14:56:22;2026-03-16 15:00:09;226;1;EN-GB;1;;;;;;;5;4;1;54
172;2026-03-16 14:57:06;2026-03-16 15:00:12;186;1;EN-GB;1;5;5;;;;;;;2;24
173;2026-03-16 14:56:28;2026-03-16 15:00:27;239;1;EN-GB;1;7;7;;;;;;;2;53
174;2026-03-16 14:58:04;2026-03-16 15:00:42;158;1;EN-GB;1;;;4;1;;;;;1;49
175;2026-03-16 14:51:19;2026-03-16 15:00:53;574;1;EN-GB;1;;;;;4;2;;;2;38
176;2026-03-16 14:51:18;2026-03-16 15:01:08;589;1;EN-GB;1;;;;;;;5;7;1;39
177;2026-03-16 15:00:03;2026-03-16 15:01:15;72;1;EN-GB;1;;;1;1;;;;;2;22
178;2026-03-16 14:58:50;2026-03-16 15:01:20;150;1;EN-GB;1;;;;;;;5;7;1;34
179;2026-03-16 14:53:34;2026-03-16 15:01:22;468;1;EN-GB;1;;;;;6;7;;;1;49
180;2026-03-16 14:58:35;2026-03-16 15:01:25;170;1;EN-GB;1;;;;;;;7;5;2;54
181;2026-03-16 14:49:55;2026-03-16 15:01:51;716;1;EN-GB;1;7;6;;;;;;;1;30
182;2026-03-16 14:59:09;2026-03-16 15:02:15;186;1;EN-GB;1;;;7;7;;;;;2;20
183;2026-03-16 15:00:05;2026-03-16 15:02:20;135;1;EN-GB;1;7;3;;;;;;;1;48
184;2026-03-16 14:58:03;2026-03-16 15:02:29;266;1;EN-GB;1;;;;;7;3;;;1;63
185;2026-03-16 15:00:40;2026-03-16 15:02:32;112;1;EN-GB;1;;;;;2;4;;;2;39
186;2026-03-16 14:57:37;2026-03-16 15:02:38;300;1;EN-GB;1;7;7;;;;;;;2;34
187;2026-03-16 14:58:32;2026-03-16 15:02:48;255;1;EN-GB;1;;;;;1;3;;;2;24
188;2026-03-16 14:49:12;2026-03-16 15:03:06;834;1;EN-GB;1;7;7;;;;;;;1;51
189;2026-03-16 14:59:53;2026-03-16 15:03:13;200;1;EN-GB;1;;;;;;;7;1;1;48
190;2026-03-16 15:00:38;2026-03-16 15:03:20;162;1;EN-GB;1;;;5;3;;;;;2;69
191;2026-03-16 15:00:18;2026-03-16 15:03:29;190;1;EN-GB;1;;;;;5;5;;;1;45
192;2026-03-16 15:00:50;2026-03-16 15:03:45;175;1;EN-GB;1;;;4;6;;;;;2;39
193;2026-03-16 15:01:45;2026-03-16 15:03:48;123;1;EN-GB;1;;;4;5;;;;;2;41
194;2026-03-16 15:01:58;2026-03-16 15:03:49;111;1;EN-GB;1;7;7;;;;;;;1;22
195;2026-03-16 15:02:00;2026-03-16 15:03:50;110;1;EN-GB;1;7;7;;;;;;;1;37
196;2026-03-16 15:01:12;2026-03-16 15:04:14;181;1;EN-GB;1;;;4;5;;;;;2;57
197;2026-03-16 15:00:29;2026-03-16 15:04:29;239;1;EN-GB;1;7;7;;;;;;;1;29
198;2026-03-16 14:55:50;2026-03-16 15:04:33;522;1;EN-GB;1;;;;;4;5;;;2;39
199;2026-03-16 14:59:26;2026-03-16 15:04:33;307;1;EN-GB;1;;;;;;;6;7;2;80
200;2026-03-16 14:57:24;2026-03-16 15:04:36;431;1;EN-GB;1;7;7;;;;;;;1;53
201;2026-03-16 15:01:27;2026-03-16 15:04:49;201;1;EN-GB;1;;;;;4;5;;;1;40
202;2026-03-16 15:02:32;2026-03-16 15:04:57;145;1;EN-GB;1;7;6;;;;;;;2;33
203;2026-03-16 15:01:17;2026-03-16 15:04:58;221;1;EN-GB;1;;;;;3;4;;;1;43
204;2026-03-16 15:03:31;2026-03-16 15:05:12;101;1;EN-GB;1;;;;;1;7;;;2;34
205;2026-03-16 15:02:20;2026-03-16 15:05:21;181;1;EN-GB;1;;;;;;;7;3;2;35
206;2026-03-16 15:03:19;2026-03-16 15:05:47;148;1;EN-GB;1;;;2;2;;;;;1;23
207;2026-03-16 15:01:47;2026-03-16 15:05:49;242;1;EN-GB;1;;;;;6;6;;;1;27
208;2026-03-16 15:02:28;2026-03-16 15:05:50;201;1;EN-GB;1;;;6;5;;;;;1;69
209;2026-03-16 15:03:56;2026-03-16 15:06:03;127;1;EN-GB;1;7;7;;;;;;;2;45
210;2026-03-16 15:03:33;2026-03-16 15:06:04;150;1;EN-GB;1;7;7;;;;;;;1;46
211;2026-03-16 15:03:33;2026-03-16 15:06:06;152;1;EN-GB;1;;;;;;;7;5;1;33
212;2026-03-16 15:02:11;2026-03-16 15:06:10;239;1;EN-GB;1;;;;;;;7;5;1;37
213;2026-03-16 15:03:49;2026-03-16 15:06:23;153;1;EN-GB;1;;;;;6;5;;;1;40
214;2026-03-16 15:05:48;2026-03-16 15:07:23;94;1;EN-GB;1;7;7;;;;;;;1;55
215;2026-03-16 15:04:28;2026-03-16 15:07:23;174;1;EN-GB;1;;;2;3;;;;;1;41
216;2026-03-16 15:04:21;2026-03-16 15:07:34;193;1;EN-GB;1;;;1;4;;;;;1;26
217;2026-03-16 15:04:55;2026-03-16 15:07:35;160;1;EN-GB;1;;;;;4;5;;;1;42
218;2026-03-16 15:05:34;2026-03-16 15:09:12;217;1;EN-GB;1;;;;;;;7;4;1;37
219;2026-03-16 15:08:16;2026-03-16 15:09:24;67;1;EN-GB;1;;;6;4;;;;;1;33
220;2026-03-16 15:08:13;2026-03-16 15:09:28;75;1;EN-GB;1;;;;;;;7;2;1;43
221;2026-03-16 15:06:17;2026-03-16 15:09:49;212;1;EN-GB;1;;;;;6;4;;;2;52
222;2026-03-16 15:07:30;2026-03-16 15:09:58;148;1;EN-GB;1;7;6;;;;;;;2;23
223;2026-03-16 15:06:15;2026-03-16 15:11:40;325;1;EN-GB;1;;;4;1;;;;;1;62
224;2026-03-16 15:07:21;2026-03-16 15:11:51;269;1;EN-GB;1;;;7;6;;;;;1;53
225;2026-03-16 15:11:08;2026-03-16 15:12:10;62;1;EN-GB;1;;;;;5;5;;;2;48
226;2026-03-16 15:07:23;2026-03-16 15:12:35;312;1;EN-GB;1;3;6;;;;;;;2;36
227;2026-03-16 15:08:17;2026-03-16 15:12:57;280;1;EN-GB;1;;;;;5;4;;;2;60
228;2026-03-16 15:11:15;2026-03-16 15:13:03;108;1;EN-GB;1;;;;;;;6;7;1;56
229;2026-03-16 15:10:29;2026-03-16 15:13:09;160;1;EN-GB;1;;;;;3;4;;;2;23
230;2026-03-16 15:08:47;2026-03-16 15:13:11;264;1;EN-GB;1;7;7;;;;;;;1;56
231;2026-03-16 15:07:15;2026-03-16 15:13:19;364;1;EN-GB;1;;;4;2;;;;;2;53
232;2026-03-16 15:08:12;2026-03-16 15:13:33;320;1;EN-GB;1;;;;;;;7;7;2;45
233;2026-03-16 15:11:43;2026-03-16 15:13:37;114;1;EN-GB;1;7;7;;;;;;;2;41
234;2026-03-16 15:02:34;2026-03-16 15:14:18;703;1;EN-GB;1;;;;;;;5;4;2;37
235;2026-03-16 15:11:27;2026-03-16 15:14:19;171;1;EN-GB;1;;;;;;;7;7;2;39
236;2026-03-16 15:12:19;2026-03-16 15:14:19;120;1;EN-GB;1;;;1;1;;;;;1;25
237;2026-03-16 15:06:39;2026-03-16 15:14:20;460;1;EN-GB;1;;;;;;;7;7;1;21
238;2026-03-16 15:12:14;2026-03-16 15:14:29;135;1;EN-GB;1;;;5;5;;;;;2;63
239;2026-03-16 15:12:42;2026-03-16 15:14:46;123;1;EN-GB;1;;;;;6;4;;;1;40
240;2026-03-16 15:10:42;2026-03-16 15:15:37;295;1;EN-GB;1;7;7;;;;;;;2;40
241;2026-03-16 15:16:27;2026-03-16 15:18:06;98;1;EN-GB;1;;;;;2;2;;;1;29
242;2026-03-16 15:16:11;2026-03-16 15:18:32;141;1;EN-GB;1;;;;;;;7;6;2;68
243;2026-03-16 15:18:02;2026-03-16 15:20:28;145;1;EN-GB;1;;;;;4;5;;;2;49
244;2026-03-16 15:17:25;2026-03-16 15:20:54;209;1;EN-GB;1;;;4;4;;;;;1;36
245;2026-03-16 15:18:09;2026-03-16 15:21:30;201;1;EN-GB;1;7;5;;;;;;;2;46
246;2026-03-16 15:14:05;2026-03-16 15:22:02;476;1;EN-GB;1;7;7;;;;;;;2;32
247;2026-03-16 15:18:39;2026-03-16 15:22:05;205;1;EN-GB;1;;;;;;;7;4;2;40
248;2026-03-16 15:24:24;2026-03-16 15:26:09;105;1;EN-GB;1;;;;;5;6;;;2;52
249;2026-03-16 15:20:23;2026-03-16 15:26:29;366;1;EN-GB;1;;;;;;;4;6;2;45
250;2026-03-16 15:24:15;2026-03-16 15:26:36;141;1;EN-GB;1;;;;;6;4;;;1;31
251;2026-03-16 15:21:01;2026-03-16 15:26:38;337;1;EN-GB;1;;;;;1;1;;;1;49
252;2026-03-16 15:23:55;2026-03-16 15:26:54;178;1;EN-GB;1;7;7;;;;;;;1;33
253;2026-03-16 15:25:57;2026-03-16 15:28:20;143;1;EN-GB;1;7;7;;;;;;;1;27
254;2026-03-16 15:26:23;2026-03-16 15:28:32;129;1;EN-GB;1;;;5;5;;;;;1;30
255;2026-03-16 15:21:15;2026-03-16 15:29:42;507;1;EN-GB;1;;;3;4;;;;;1;18
256;2026-03-16 15:24:42;2026-03-16 15:31:51;428;1;EN-GB;1;;;;;;;7;5;2;59
257;2026-03-16 15:29:07;2026-03-16 15:32:51;223;1;EN-GB;1;7;5;;;;;;;2;71
258;2026-03-16 15:31:31;2026-03-16 15:34:01;149;1;EN-GB;1;;;4;5;;;;;2;56
259;2026-03-16 15:36:13;2026-03-16 15:38:07;114;1;EN-GB;1;;;7;7;;;;;2;33
260;2026-03-16 15:39:46;2026-03-16 15:43:00;193;1;EN-GB;1;;;;;4;1;;;3;20
261;2026-03-16 15:41:09;2026-03-16 15:46:20;311;1;EN-GB;1;;;;;;;7;1;1;40
262;2026-03-16 15:42:19;2026-03-16 15:47:02;283;1;EN-GB;1;7;6;;;;;;;1;53
263;2026-03-16 15:45:28;2026-03-16 15:47:31;122;1;EN-GB;1;;;;;;;7;7;1;21
264;2026-03-16 15:48:40;2026-03-16 15:50:53;133;1;EN-GB;1;;;5;4;;;;;2;31
265;2026-03-16 15:46:53;2026-03-16 15:51:24;270;1;EN-GB;1;;;;;4;5;;;2;52
266;2026-03-16 15:46:42;2026-03-16 15:55:42;540;1;EN-GB;1;7;7;;;;;;;1;61
267;2026-03-16 15:54:07;2026-03-16 15:56:37;149;1;EN-GB;1;;;1;4;;;;;3;21
268;2026-03-16 16:03:57;2026-03-16 16:06:05;128;1;EN-GB;1;;;;;;;6;5;1;29
269;2026-03-16 16:07:49;2026-03-16 16:09:27;98;1;EN-GB;1;7;7;;;;;;;2;33
270;2026-03-16 16:12:35;2026-03-16 16:16:12;216;1;EN-GB;1;;;;;6;3;;;2;53
271;2026-03-16 16:20:50;2026-03-16 16:24:01;190;1;EN-GB;1;7;7;;;;;;;2;51
272;2026-03-16 16:30:41;2026-03-16 16:34:07;206;1;EN-GB;1;;;;;;;7;7;2;74
273;2026-03-16 16:29:32;2026-03-16 16:34:49;317;1;EN-GB;1;;;1;5;;;;;1;29
274;2026-03-16 16:30:36;2026-03-16 16:35:09;273;1;EN-GB;1;;;;;;;7;6;2;33
275;2026-03-16 16:29:05;2026-03-16 16:35:31;385;1;EN-GB;1;;;;;4;5;;;1;53
276;2026-03-16 16:31:40;2026-03-16 16:37:22;342;1;EN-GB;1;;;;;5;2;;;2;43
277;2026-03-16 17:09:53;2026-03-16 17:12:03;129;1;EN-GB;1;7;7;;;;;;;2;38
278;2026-03-16 17:19:24;2026-03-16 17:24:12;288;1;EN-GB;1;;;1;1;;;;;2;53
